id,content,label
1,대출 금리가 예상보다 높게 적용되어 상환 부담이 커졌습니다,대출
2,대출 상품 가입 당시 이자율 설명이 충분하지 않았습니다,대출
3,상환 일정 변경 안내를 제대로 받지 못했습니다,대출
4,대출 한도가 갑자기 줄어 불편을 겪었습니다,대출
5,중도상환수수료에 대한 설명이 부족했습니다,대출
6,대출 심사 결과가 너무 늦게 통보되었습니다,대출
7,금리 인상 사유를 명확하게 안내받지 못했습니다,대출
8,대출 연장 신청 과정이 복잡하고 안내가 부족했습니다,대출
9,상환 방식 변경 요청이 제대로 처리되지 않았습니다,대출
10,대출 상담 시 실제 조건과 다른 안내를 받았습니다,대출
11,담보대출 관련 서류 안내가 불친절했습니다,대출
12,대출 실행일이 지연되어 자금 계획에 차질이 생겼습니다,대출
13,변동금리 적용 기준을 이해하기 어렵게 설명받았습니다,대출
14,대출 이자 납부 내역 확인이 어렵습니다,대출
15,상환 완료 후에도 대출 잔액이 남아 있다고 표시됩니다,대출
16,대출 만기 안내 문자를 받지 못했습니다,대출
17,대출 갈아타기 과정에서 수수료 안내가 부족했습니다,대출
18,신용대출 신청 후 진행 상황을 확인하기 어려웠습니다,대출
19,대출 계약서의 주요 조건 설명이 부족했습니다,대출
20,상환 계좌 변경 요청이 반영되지 않았습니다,대출
21,카드 결제 취소 처리가 너무 늦습니다,카드
22,카드 승인 문자가 오지 않아 결제 여부를 확인하기 어려웠습니다,카드
23,해외 카드 결제 수수료 안내가 부족했습니다,카드
24,카드 분실 신고 후 재발급이 지연되었습니다,카드
25,카드 포인트 적립 기준이 설명과 달랐습니다,카드
26,카드 연회비 청구 사유를 알기 어렵습니다,카드
27,카드 결제일 변경 신청이 반영되지 않았습니다,카드
28,카드 한도가 갑자기 낮아졌습니다,카드
29,카드 할부 수수료 안내가 부족했습니다,카드
30,카드 자동이체 결제가 중복으로 처리되었습니다,카드
31,카드 사용 내역에 알 수 없는 결제가 있습니다,카드
32,카드 고객센터 연결이 너무 어렵습니다,카드
33,카드 청구서 금액이 실제 사용 금액과 다릅니다,카드
34,카드 해지 신청 후에도 연회비가 청구되었습니다,카드
35,카드 이벤트 혜택이 제대로 적용되지 않았습니다,카드
36,카드 결제 오류로 같은 금액이 두 번 빠져나갔습니다,카드
37,체크카드 환불 처리가 지연되고 있습니다,카드
38,카드 앱에서 결제 내역 조회가 되지 않습니다,카드
39,카드 재발급 배송이 너무 늦습니다,카드
40,카드 이용 정지 사유를 명확히 안내받지 못했습니다,카드
41,보험금 청구 후 지급이 너무 늦어졌습니다,보험
42,보험 가입 당시 보장 범위 설명이 부족했습니다,보험
43,보험료 인상 사유를 이해하기 어렵습니다,보험
44,보험 해지 환급금이 예상보다 적었습니다,보험
45,보험금 지급 거절 사유가 명확하지 않습니다,보험
46,실손보험 청구 서류 안내가 복잡했습니다,보험
47,보험 상담원이 약관 내용을 제대로 설명하지 않았습니다,보험
48,보험 계약 변경 요청이 반영되지 않았습니다,보험
49,보험료 자동이체가 중복으로 출금되었습니다,보험
50,보험 만기 안내를 받지 못했습니다,보험
51,보험 가입 후 보장 내용이 안내와 달랐습니다,보험
52,보험 청구 진행 상황을 확인하기 어렵습니다,보험
53,보험 약관의 주요 내용 설명이 부족했습니다,보험
54,보험금 지급 심사가 지나치게 오래 걸립니다,보험
55,보험 해지 신청 처리가 지연되었습니다,보험
56,보험료 납입 확인서 발급이 어렵습니다,보험
57,질병 보험 보장 제외 조건을 제대로 안내받지 못했습니다,보험
58,자동차보험 사고 접수 처리가 늦었습니다,보험
59,보험 계약자 변경 절차가 복잡했습니다,보험
60,보험금 산정 기준이 명확하지 않습니다,보험
61,계좌 이체 오류가 발생했는데 처리가 늦었습니다,은행업무
62,인터넷뱅킹 로그인이 계속 실패합니다,은행업무
63,계좌 개설 과정에서 안내가 부족했습니다,은행업무
64,자동이체 신청이 정상적으로 처리되지 않았습니다,은행업무
65,은행 앱에서 잔액 조회가 되지 않습니다,은행업무
66,이체 한도 변경 요청이 반영되지 않았습니다,은행업무
67,계좌 해지 신청 후 처리가 지연되었습니다,은행업무
68,공인인증서 등록 과정에서 오류가 발생했습니다,은행업무
69,은행 창구 대기 시간이 너무 길었습니다,은행업무
70,계좌 비밀번호 오류 해제가 불편했습니다,은행업무
71,ATM 출금 오류가 발생했는데 금액이 빠져나갔습니다,은행업무
72,입금 내역이 계좌에 바로 반영되지 않았습니다,은행업무
73,은행 수수료 부과 기준 설명이 부족했습니다,은행업무
74,모바일뱅킹 알림이 오지 않습니다,은행업무
75,계좌 거래내역 조회가 정상적으로 되지 않습니다,은행업무
76,이체 예약 취소가 제대로 처리되지 않았습니다,은행업무
77,은행 상담 연결이 너무 오래 걸렸습니다,은행업무
78,계좌 명의 변경 절차 안내가 부족했습니다,은행업무
79,해외송금 처리 상태를 확인하기 어렵습니다,은행업무
80,은행 앱 업데이트 후 오류가 자주 발생합니다,은행업무
81,펀드 손실 위험에 대한 설명이 부족했습니다,투자
82,투자 상품 가입 당시 원금 손실 가능성을 충분히 듣지 못했습니다,투자
83,주식 매매 주문이 지연되어 손실이 발생했습니다,투자
84,펀드 수수료 구조가 복잡하게 안내되었습니다,투자
85,투자 성향 분석 결과가 실제와 맞지 않았습니다,투자
86,ELS 상품의 위험성을 제대로 안내받지 못했습니다,투자
87,펀드 환매 신청 후 입금이 늦어졌습니다,투자
88,투자 상품 설명서의 내용이 어렵고 불친절했습니다,투자
89,주식 계좌 개설 과정에서 오류가 발생했습니다,투자
90,투자 권유 과정에서 손실 가능성 설명이 부족했습니다,투자
91,펀드 수익률 안내가 실제 결과와 달랐습니다,투자
92,증권 앱에서 매도 주문이 정상 처리되지 않았습니다,투자
93,투자 상품 가입 후 위험 등급이 변경되었습니다,투자
94,주식 거래 수수료 안내가 부족했습니다,투자
95,펀드 운용 보고서를 이해하기 어렵습니다,투자
96,투자 상담 내용과 실제 상품 조건이 달랐습니다,투자
97,채권 투자 상품의 만기 조건 설명이 부족했습니다,투자
98,주식 주문 취소가 제때 처리되지 않았습니다,투자
99,투자 손실 발생 후 고객 안내가 부족했습니다,투자
100,펀드 가입 취소 요청이 지연되었습니다,투자